kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
NEK2	Other	0	94	0	15	160	5426	0.18038563829787232	-2.470843614283134	0.06149392425053541	0.20025403556447482	1.2111677914573449	0.6984187231552202	1.1304166666666666	0.1768546417859852	0.9999999999838017	1.000000000015329	7.034817084936533e-12	6.657331098046247e-12	downregulated set	0.8846295613711759	-0.1768546417859852	0.9999999999838017	1.000000000015329	7.034817084936533e-12	6.657331098046247e-12
PIM3	CAMK	18	94	0	15	186	5426	5.586135895676047	2.4818506709385098	5.9198353268794605e-9	2.5624430057778235e-7	8.227690373956515	6.591345785468467	0.9724014336917564	-0.04037607443468368	0.5930792582547872	1.000000000015329	0.22688726427050582	6.657331098046247e-12	upregulated set	5.586135895676047	2.4818506709385098	5.9198353268794605e-9	2.5624430057778235e-7	8.227690373956515	6.591345785468467
NEK3	Other	1	94	0	15	143	5426	0.4036601696176164	-1.308786856174161	0.2905994611890179	0.4733958964530776	0.5367051952783732	0.32477551099398444	1.2648018648018646	0.33891139989495794	0.999999999968997	1.000000000015329	1.346442225195899e-11	6.657331098046247e-12	downregulated set	0.7906376704754885	-0.33891139989495794	0.999999999968997	1.000000000015329	1.346442225195899e-11	6.657331098046247e-12
P70S6KB	AGC	20	94	0	15	118	5426	9.783627839884602	3.29036952612975	6.451764246420003e-14	4.8872114166631525e-12	13.190321510525095	11.310938873350752	1.532768361581921	0.6161396873115064	0.9999999999631082	1.000000000015329	1.6021915126091784e-11	6.657331098046247e-12	upregulated set	9.783627839884602	3.29036952612975	6.451764246420003e-14	4.8872114166631525e-12	13.190321510525095	11.310938873350752
PIM2	CAMK	9	94	0	15	120	5426	4.3292553191489365	2.1141188864380225	0.00031244544513091575	0.003751124478712527	3.5052258021501266	2.425838523820225	1.5072222222222222	0.5918921410648291	0.9999999999437678	1.000000000015329	2.442135200928199e-11	6.657331098046247e-12	upregulated set	4.3292553191489365	2.1141188864380225	0.00031244544513091575	0.003751124478712527	3.5052258021501266	2.425838523820225
CDKL5	CMGC	5	94	1	15	166	5426	1.7386567546782876	0.7979731441446664	0.16576346432663927	0.3527954447113263	0.780511185425323	0.4524770311068464	2.1791164658634536	1.1237433053264227	0.3738835250413627	1.000000000015329	0.4272636713562472	6.657331098046247e-12	downregulated set	0.4589015849612975	-1.1237433053264227	0.3738835250413627	1.000000000015329	0.4272636713562472	6.657331098046247e-12
OSR1	STE	2	94	0	15	156	5426	0.7400436442989634	-0.4343177382580197	0.49205396780944394	0.57719390124672	0.30798726179264935	0.23867826640198256	1.1594017094017093	0.21338051781109912	0.9999999999796941	1.000000000015329	8.81872646534602e-12	6.657331098046247e-12	downregulated set	0.8625138223368966	-0.21338051781109912	0.9999999999796941	1.000000000015329	8.81872646534602e-12	6.657331098046247e-12
DYRK1A	CMGC	3	94	2	15	357	5426	0.4850706239942785	-1.043733282703715	0.1290696987767004	0.30568259471911713	0.8891757035017834	0.5147292888913172	2.026517273576097	1.019002472644248	0.26013883818025474	1.000000000015329	0.5847948037126629	6.657331098046247e-12	downregulated set	0.493457427202359	-1.019002472644248	0.26013883818025474	1.000000000015329	0.5847948037126629	6.657331098046247e-12
DYRK1B	CMGC	1	94	2	15	483	5426	0.1195101537377208	-3.0647948982315447	0.0016947780887624517	0.013167122074231355	2.7708871594875886	1.8805091380117827	1.4978605935127673	0.5829033578375744	0.3918248017179547	1.000000000015329	0.40690807750834956	6.657331098046247e-12	downregulated set	0.6676188720973093	-0.5829033578375744	0.3918248017179547	1.000000000015329	0.40690807750834956	6.657331098046247e-12
LOK	STE	1	94	0	15	73	5426	0.7907315651413581	-0.33874007827578867	0.6396220903716032	0.6569677741782908	0.19407654561244891	0.18245593308830688	2.477625570776256	1.3089581777933306	1.000000000009332	1.000000000015329	4.052875476411244e-12	6.657331098046247e-12	downregulated set	0.403612237375599	-1.3089581777933306	1.000000000009332	1.000000000015329	4.052875476411244e-12	6.657331098046247e-12
VRK1	CK1	2	94	1	15	235	5426	0.49126301493888636	-1.0254324659607712	0.22400715569151125	0.4059918327256432	0.6497381083278857	0.39148270296926485	1.5392907801418438	0.6222657901083477	0.48625285072823216	1.000000000015329	0.31313783954405283	6.657331098046247e-12	downregulated set	0.6496498341319573	-0.6222657901083477	0.48625285072823216	1.000000000015329	0.31313783954405283	6.657331098046247e-12
VRK2	CK1	6	94	1	15	268	5426	1.2923150206414735	0.3699577908676126	0.32352260134019883	0.5047637974903715	0.4900953740541278	0.29691180097860737	1.3497512437810946	0.4326935462155752	0.5330609917582979	1.000000000015329	0.2732230970360188	6.657331098046247e-12	downregulated set	0.7408772576483598	-0.4326935462155752	0.5330609917582979	1.000000000015329	0.2732230970360188	6.657331098046247e-12
HGK	STE	0	94	0	15	113	5426	0.255413293165129	-1.9690944818109588	0.1407198465364014	0.32419258848121413	0.8516446471750294	0.48919691798381476	1.600589970501475	0.67860377425816	0.999999999959486	1.000000000015329	1.7595022522341045e-11	6.657331098046247e-12	downregulated set	0.6247696277183928	-0.67860377425816	0.999999999959486	1.000000000015329	1.7595022522341045e-11	6.657331098046247e-12
