kinase	kinase_group	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	downregulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_direction	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs
ULK2	Other	3	52	0	11	145	5472	2.177188328912467	1.1224662074510277	0.1621124956312213	0.5414539542853808	0.7901835084424556	0.26643847024835327	1.715360501567398	0.7785118062336661	0.9999999999918439	1.0000000000301261	3.5421676501579793e-12	1.30836093350113e-11	upregulated set	2.177188328912467	1.1224662074510277	0.1621124956312213	0.5414539542853808	0.7901835084424556	0.26643847024835327
AMPKA1	CAMK	2	52	0	11	247	5472	0.8520710059171598	-0.23095443483987194	0.5819635934807295	0.6860329626201834	0.235104183124977	0.16365501674203417	1.006993006993007	0.010053664663923084	1.0000000000182734	1.0000000000301261	7.936029318674422e-12	1.30836093350113e-11	downregulated set	0.9930555555555555	-0.010053664663923084	1.0000000000182734	1.0000000000301261	7.936029318674422e-12	1.30836093350113e-11
PRKD2	CAMK	0	52	0	11	152	5472	0.3461538461538462	-1.5305147166987798	0.23276245038554183	0.5767187058158775	0.6330870794588737	0.239035962060811	1.6363636363636365	0.7104933828050153	0.9999999999984378	1.0000000000301261	6.784525890940951e-13	1.30836093350113e-11	downregulated set	0.611111111111111	-0.7104933828050153	0.9999999999984378	1.0000000000301261	6.784525890940951e-13	1.30836093350113e-11
ULK1	Other	4	52	1	11	181	5472	2.3255418614534635	1.2175669096616004	0.09521812499285784	0.46448829890982113	1.0212803747757369	0.3330252219995194	2.748367654445002	1.4585750091653953	0.31041885531431757	1.0000000000301261	0.5080519069039948	1.30836093350113e-11	downregulated set	0.36385233918128657	-1.4585750091653953	0.31041885531431757	1.0000000000301261	0.5080519069039948	1.30836093350113e-11
PRKD1	CAMK	1	52	0	11	259	5472	0.40629640629640634	-1.2993954909417482	0.28944925129796373	0.6133085534495315	0.5384275694607412	0.2123209784234981	0.9603369603369604	-0.05838739143795325	0.5869726656559802	1.0000000000301261	0.2313821226555882	1.30836093350113e-11	downregulated set	1.0413011695906433	0.05838739143795325	0.5869726656559802	1.0000000000301261	0.2313821226555882	1.30836093350113e-11
WNK4	Other	1	52	0	11	118	5472	0.8917861799217732	-0.16523025261703542	0.691000605443516	0.7320740680048439	0.16052157210385815	0.13544497673059616	2.107858243451464	1.0757778468867596	1.0000000000138896	1.0000000000301261	6.0321576014888846e-12	1.30836093350113e-11	downregulated set	0.4744152046783625	-1.0757778468867596	1.0000000000138896	1.0000000000301261	6.0321576014888846e-12	1.30836093350113e-11
NLK	CMGC	5	52	2	11	481	5472	1.0938749400287862	0.1294478078621261	0.4874825527650842	0.6540485854412867	0.31204092329558447	0.18438998928227698	2.0684180684180684	1.0485278124785586	0.25198362724538775	1.0000000000301261	0.5986276767898203	1.30836093350113e-11	downregulated set	0.4834612573099415	-1.0485278124785586	0.25198362724538775	1.0000000000301261	0.5986276767898203	1.30836093350113e-11
TTBK1	CK1	5	52	0	11	192	5472	2.740384615384616	1.4543783909110122	0.036727731911449304	0.30642022321867307	1.435005890297665	0.5136825753891608	1.2954545454545456	0.37345839552744464	0.999999999985206	1.0000000000301261	6.424976395078784e-12	1.30836093350113e-11	upregulated set	2.740384615384616	1.4543783909110122	0.036727731911449304	0.30642022321867307	1.435005890297665	0.5136825753891608
TTBK2	CK1	6	52	0	11	201	5472	3.1412169919632604	1.6513236062870333	0.012452125605972484	0.16041714375497362	1.904756507190806	0.7947492205884914	1.237449118046133	0.3073692050696719	0.9999999999944494	1.0000000000301261	2.4105775845232696e-12	1.30836093350113e-11	upregulated set	3.1412169919632604	1.6513236062870333	0.012452125605972484	0.16041714375497362	1.904756507190806	0.7947492205884914
NUAK1	CAMK	0	52	0	11	196	5472	0.26844583987441134	-1.8972970473704025	0.1514568608393612	0.5410779313792312	0.819711048794065	0.266740179014516	1.2690166975881263	0.34371105213339254	0.9999999999953109	1.0000000000301261	2.0364667438720064e-12	1.30836093350113e-11	downregulated set	0.7880116959064327	-0.34371105213339254	0.9999999999953109	1.0000000000301261	2.0364667438720064e-12	1.30836093350113e-11
NUAK2	CAMK	1	52	0	11	179	5472	0.5878813923506662	-0.7664029805194507	0.490405624509322	0.6540485854412867	0.3094445574958523	0.18438998928227698	1.389537836465211	0.4746051189843444	0.9999999999948097	1.0000000000301261	2.2541154530741585e-12	1.30836093350113e-11	downregulated set	0.7196637426900584	-0.4746051189843444	0.9999999999948097	1.0000000000301261	2.2541154530741585e-12	1.30836093350113e-11
TAK1	TKL	2	52	0	11	206	5472	1.0216579536967887	0.030912269561587376	0.5888148926824945	0.6865346309495158	0.23002121407810946	0.1633375507055387	1.207413945278023	0.2719203690653823	1.000000000005702	1.0000000000301261	2.476392934101781e-12	1.30836093350113e-11	downregulated set	0.8282163742690057	-0.2719203690653823	1.000000000005702	1.0000000000301261	2.476392934101781e-12	1.30836093350113e-11
NIM1	CAMK	2	52	0	11	231	5472	0.9110889110889111	-0.13433624467125185	0.623214112245882	0.6865346309495158	0.20536272093061184	0.1633375507055387	1.076741440377804	0.10667185483254298	1.0000000000009297	1.0000000000301261	4.037639102456736e-13	1.30836093350113e-11	downregulated set	0.9287280701754387	-0.10667185483254298	1.0000000000009297	1.0000000000301261	4.037639102456736e-13	1.30836093350113e-11
CDK17	CMGC	4	52	1	11	451	5472	0.9333105918471774	-0.09957082651057504	0.5712166739828104	0.6831066373074528	0.24319912386312273	0.16551149488478564	1.1030034267284823	0.14143727299321981	0.6122026204416708	1.0000000000301261	0.21310481580218926	1.30836093350113e-11	downregulated set	0.9066154970760233	-0.14143727299321981	0.6122026204416708	1.0000000000301261	0.21310481580218926	1.30836093350113e-11
PLK4	Other	3	52	1	11	169	5472	1.8680018206645426	0.9014958611837776	0.21947560092431728	0.5767187058158775	0.6586137532027713	0.239035962060811	2.9435180204410973	1.5575414599664164	0.2930353521315064	1.0000000000301261	0.5330799826851969	1.30836093350113e-11	downregulated set	0.3397295321637427	-1.5575414599664164	0.2930353521315064	1.0000000000301261	0.5330799826851969	1.30836093350113e-11
SRPK2	CMGC	2	52	1	11	307	5472	0.6855424705587573	-0.5446820486253736	0.4369349914587114	0.6395201235105361	0.3595831739012934	0.194145785208659	1.6203731122297897	0.6963260508784213	0.4708807411220296	1.0000000000301261	0.3270890717052301	1.30836093350113e-11	downregulated set	0.6171418128654971	-0.6963260508784213	0.4708807411220296	1.0000000000301261	0.3270890717052301	1.30836093350113e-11
CDK18	CMGC	3	52	3	11	475	5472	0.6646153846153847	-0.5894084057523481	0.32971207776591455	0.6230929338302585	0.481865143815239	0.20544717382295896	3.1418181818181816	1.6515996937514466	0.06406135898415864	1.0000000000301261	1.1934038525429298	1.30836093350113e-11	downregulated set	0.31828703703703703	-1.6515996937514466	0.06406135898415864	1.0000000000301261	1.1934038525429298	1.30836093350113e-11
PLK3	Other	3	52	1	11	554	5472	0.5698417106359345	-0.8113668685832265	0.21618942144354972	0.5767187058158775	0.6651655607115368	0.239035962060811	0.89793239251723	-0.15532126980058783	0.6921448308874074	1.0000000000301261	0.15980302017628328	1.30836093350113e-11	downregulated set	1.113669590643275	0.15532126980058783	0.6921448308874074	1.0000000000301261	0.15980302017628328	1.30836093350113e-11
SRPK3	CMGC	4	52	1	11	353	5472	1.1924166485073	0.25388842347362534	0.435943560492715	0.6395201235105361	0.36056973310111784	0.194145785208659	1.4092196755086273	0.4948965229774202	0.5204234811476426	1.0000000000301261	0.2836431166016329	1.30836093350113e-11	downregulated set	0.7096125730994153	-0.4948965229774202	0.5204234811476426	1.0000000000301261	0.2836431166016329	1.30836093350113e-11
