pathway	pval	padj	log2err	ES	NES	size	leadingEdge	timepoint	confidence_levels
SMAD3_1	0.02368782338797995	0.0723438930497766	0.35248785758361917	0.8041030663456463	2.028055940031697	24	JUN;CDKN1A;AHR;ZFP36;MYC;BAMBI;COL6A3;CCND2	1	A
SREBF1_1	0.026181251411988158	0.077854773935649	0.35248785758361917	0.8418125622081053	2.0288550531346328	19	INSIG1;LDLR;HMGCR;HMGCS1;SQLE;HK2	1	A
ATF6_1	0.030604351835470455	0.0886741476258503	0.35248785758361917	0.7807657363863899	1.6794283951097242	10	SRF;DDIT3;SEL1L;HSPA5;HSP90B1;XBP1;ATP2A2	1	A
NFIC_1	0.0336888518471042	0.09517100646806936	0.3217759180753611	0.8017730217338503	1.9323556331173075	19	JUN;MYC	1	A
EGR1_1	0.05016181229773463	0.1356174990321332	0.25720646646883816	0.6900631348074757	1.9976100631421285	99	ATF3;JUN;LDLR;CDKN1A;TMPO;FGF2;MYC;TIMP3;EGFR	1	A
RELA_1	0.05040650406504065	0.1356174990321332	0.25720646646883816	0.6877540366538795	1.9822045619360464	88	MCL1;NR4A1;CDKN1A;BIRC2;SIRT1;MYC;SOD2;EGFR	1	A
POU2F1_1	0.06716417910447761	0.17650121485595277	0.2377938344236881	0.6277909361857436	1.5645260215681975	23	MYC;GADD45A;RRM2B;H2BC21;CDX2;LCT;TXNRD1	1	A
FOXO1_1	0.07330827067669173	0.18653968253968253	0.22798720285044224	0.6223093758748319	1.5976941787209284	30	CDKN1A;RPS6KA3;BCL2L11;SCP2;DAAM1;CNOT8	1	A
TCF7L2_1	0.07428571428571429	0.18653968253968253	0.22798720285044224	0.6580070583566603	1.5261770831167067	15	MYC;TCF7;STAT3;CTNNB1;LEF1;SNAI2	1	A
HIF1A_1	0.07846153846153846	0.18994116866457295	0.19782202131510335	0.6192472094435065	1.8217678393502186	130	MCL1;NR4A1;CDKN1A;NR4A3;NAMPT;KDM3A;HMGCR;BHLHE40;FGF2;RORA;TFRC;ERRFI1;NPM1;RNF7;HEY1;HK2;SLC2A1;ID2;CXCR4;NR3C1;GFPT1;MUC5AC;ABCA1;CD36;ZNF217;BHLHE41;BNIP3L;HSP90B1;LDHA	1	A
PGR_1	0.079002079002079	0.18994116866457295	0.23112670967383428	0.7613385227245513	1.4934273504338285	7	MYC;ESR1;HLTF;VEGFA;BCL2	1	A
IRF1_1	0.08571428571428572	0.19634751773049644	0.2114001893849227	0.6436700696456574	1.4929239692879863	15	IL15;TAP1;HLA-A;SOCS1	1	A
